ticker,date,close,by,b_val,b_lot,b_avg,sl,s_val,s_lot,s_avg
ACES,2026-08-02,360,BQ,1B,29K,356,YP,1B,28.9K,358
ACES,2026-08-02,360,IF,885.8M,24.8K,358,XA,711.5M,20.2K,355
ACES,2026-08-02,360,ZP,517.8M,14.4K,359,XC,332.2M,9.3K,359
ACES,2026-08-02,360,CC,256.5M,7K,359,OD,312.9M,8.7K,360
ACES,2026-08-02,360,PD,171M,4.8K,359,BK,228.1M,6.4K,355
ACES,2026-08-02,360,TP,154.1M,4.3K,359,XL,183M,5.2K,357
ACES,2026-08-02,360,KK,60.9M,1.7K,361,SQ,53.8M,1.5K,356
ACES,2026-08-02,360,EP,51.3M,1.6K,354,NI,51.8M,1.5K,357
ACES,2026-08-02,360,CP,40.5M,1.2K,356,DR,49.8M,1.4K,359
ACES,2026-08-02,360,KI,2.4M,66,360,YJ,45.6M,1.3K,360
